CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count
714826758,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4
779058108,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6
710790258,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6
715623483,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4
715156383,44,M,1,Unknown,Unknown,$120K +,Blue,36,6
711013983,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2
755420433,59,F,1,Graduate,Married,Unknown,Blue,52,2
794543958,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5
716396358,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5
715398033,53,M,2,High School,Single,$120K +,Blue,35,4
711743883,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5
719720058,44,M,3,High School,Single,$60K - $80K,Blue,31,4
778992108,57,M,2,Unknown,Married,$120K +,Blue,45,5
717539808,51,F,2,High School,Single,Less than $40K,Blue,36,3
714070758,49,M,4,High School,Single,$80K - $120K,Blue,38,4
714107958,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4
789140283,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5
715550508,45,F,3,Unknown,Married,Unknown,Blue,28,5
719712633,64,M,1,Graduate,Married,Less than $40K,Blue,52,6
772629333,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5
720336708,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5
802013583,56,M,3,College,Married,$120K +,Blue,50,3
711887583,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2
714778833,49,F,3,College,Single,Unknown,Blue,43,4
713843283,41,F,3,Unknown,Married,Unknown,Silver,34,5
779155158,53,M,3,Graduate,Married,$120K +,Blue,34,6
721091583,44,F,2,Graduate,Single,Less than $40K,Blue,32,3
713572683,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3
716657058,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2
779509983,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6
717929133,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5
808284783,62,F,1,Unknown,Married,Less than $40K,Blue,56,6
708476808,54,M,4,Unknown,Divorced,$120K +,Blue,36,6
710916408,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4
708492558,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5
799825758,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5
718619883,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2
711844758,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6
714798783,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6
826762908,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3
771894558,50,M,3,High School,Single,$80K - $120K,Blue,39,4
721074183,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4
715259583,53,F,2,High School,Married,Less than $40K,Blue,44,3
718414008,50,M,2,Graduate,Single,$120K +,Blue,36,3
719666283,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4
714877233,53,M,1,High School,Married,$80K - $120K,Blue,47,3
785387883,47,F,3,High School,Single,$40K - $60K,Blue,41,4
771075258,55,M,2,College,Single,$120K +,Silver,42,2
711318033,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4
783554958,58,M,4,Graduate,Single,$120K +,Blue,52,6
720201033,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3
718039683,52,M,2,High School,Single,$40K - $60K,Blue,45,3
710806083,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4
714752208,42,F,1,Graduate,Married,Less than $40K,Blue,36,5
822063408,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5
714490308,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3
713356833,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3
711402333,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2
708296883,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3
719154483,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5
717721458,45,M,4,College,Divorced,$60K - $80K,Blue,40,5
711112683,63,F,1,College,Married,Unknown,Blue,36,6
715674483,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4
789322833,48,F,5,High School,Married,Less than $40K,Blue,38,1
789968058,51,M,1,Unknown,Single,$120K +,Blue,42,6
709919283,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2
718744008,59,F,1,Graduate,Single,Less than $40K,Blue,36,3
767712558,59,M,1,College,Single,$60K - $80K,Blue,53,2
712950783,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3
716104983,41,F,2,Graduate,Single,Less than $40K,Blue,32,6
818839983,55,M,2,Graduate,Married,$120K +,Blue,50,3
772288758,47,F,4,Graduate,Married,Unknown,Blue,36,4
712350858,41,M,2,High School,Married,$80K - $120K,Blue,24,4
711009708,40,M,3,High School,Single,$80K - $120K,Blue,28,5
712720158,68,M,1,Graduate,Married,Unknown,Blue,56,5
712215258,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2
773827008,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6
795232683,53,F,1,College,Married,Less than $40K,Blue,47,4
713786508,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3
713539833,48,F,4,High School,Single,$40K - $60K,Blue,38,6
712454058,49,M,1,Doctorate,Married,$120K +,Blue,38,6
718759833,44,F,2,Uneducated,Married,Unknown,Silver,35,4
718803333,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2
720253908,56,M,0,High School,Married,$80K - $120K,Blue,43,5
714133158,59,F,1,College,Single,Unknown,Blue,36,2
713187033,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3
714791208,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6
772426383,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5
710975883,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3
714264408,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4
715827858,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3
713741358,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6
709531908,53,M,3,High School,Married,$60K - $80K,Blue,47,5
716493408,45,F,4,Uneducated,Divorced,Unknown,Blue,36,4
714141108,52,F,1,High School,Married,Less than $40K,Blue,45,6
708953883,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2
712608783,50,M,2,High School,Married,$80K - $120K,Silver,45,3
820353558,41,F,3,High School,Married,$40K - $60K,Blue,36,4
714964758,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5
716264358,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2
717296808,67,F,1,Graduate,Married,Less than $40K,Blue,56,4
712977183,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6
710829108,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4
779562633,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3
715315833,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6
815500983,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5
719360583,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6
709701558,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2
721148358,49,F,3,Uneducated,Single,Unknown,Blue,38,6
779862408,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3
812627208,60,F,0,College,Single,Less than $40K,Blue,55,5
711033408,50,F,2,High School,Married,Less than $40K,Blue,36,5
779956608,41,F,2,Post-Graduate,Married,Unknown,Blue,31,6
780376683,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5
717912483,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,5
714454758,57,F,3,Graduate,Married,Less than $40K,Blue,47,4
780466533,54,M,3,Doctorate,Married,$120K +,Blue,41,3
715735233,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5
720476733,47,F,3,High School,Married,Less than $40K,Blue,34,2
715872333,41,M,0,High School,Unknown,$120K +,Blue,36,3
712375758,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3
708868233,68,M,0,High School,Married,Less than $40K,Blue,52,1
718030083,59,M,1,College,Married,$60K - $80K,Blue,36,4
720707283,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5
771698658,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4
748326258,48,M,3,College,Married,$80K - $120K,Blue,41,4
770817783,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3
779353083,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4
711441333,43,F,1,High School,Divorced,Less than $40K,Silver,35,3
719808558,55,F,2,Graduate,Married,Less than $40K,Blue,43,2
711551958,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3
809164083,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2
820596183,58,M,2,College,Married,$120K +,Blue,53,2
715999608,53,F,2,High School,Married,Less than $40K,Blue,36,4
710565408,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,3
805543158,52,M,3,Graduate,Married,$120K +,Blue,47,5
709752183,48,M,3,High School,Single,$60K - $80K,Blue,36,4
716479233,43,M,4,High School,Married,$40K - $60K,Blue,36,5
713837058,48,M,2,College,Single,Less than $40K,Blue,36,3
718876683,43,F,4,Graduate,Single,Less than $40K,Blue,31,5
770746908,44,M,4,Unknown,Married,$60K - $80K,Blue,30,5
794843883,41,M,3,High School,Married,$80K - $120K,Blue,35,6
803043933,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4
758076408,50,M,2,Unknown,Single,$40K - $60K,Blue,43,2
714606558,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5
778425408,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5
714171108,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6
719662458,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5
713137233,41,M,2,High School,Single,$80K - $120K,Blue,28,4
769425858,45,M,3,College,Single,$60K - $80K,Blue,32,4
711297483,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6
788900883,51,F,2,Graduate,Married,Less than $40K,Blue,36,3
758348808,51,M,2,Graduate,Married,$120K +,Blue,44,4
772336458,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4
708711483,57,M,2,Unknown,Married,$80K - $120K,Blue,46,2
717906783,41,M,5,Graduate,Single,$120K +,Blue,29,5
719437908,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6
769433508,43,M,1,College,Single,$60K - $80K,Blue,37,6
790096533,55,M,2,College,Married,$60K - $80K,Blue,48,4
720997383,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2
787541883,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3
709930758,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5
789830058,44,M,4,Unknown,Single,$80K - $120K,Blue,34,4
710299608,53,F,2,Unknown,Married,Less than $40K,Blue,33,2
710741208,39,M,2,High School,Single,$80K - $120K,Blue,36,4
821797008,49,M,5,College,Married,$40K - $60K,Blue,45,2
708874533,45,F,2,College,Married,Less than $40K,Blue,36,1
715341858,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6
793636308,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2
713779908,46,F,3,Doctorate,Single,Unknown,Blue,36,6
712125258,46,M,4,High School,Married,$120K +,Blue,30,3
709703433,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4
721022433,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5
710103558,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4
715952883,73,M,0,High School,Married,$40K - $60K,Blue,36,5
719731458,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,6
772390908,59,M,0,High School,Single,$40K - $60K,Blue,48,2
787348608,70,M,0,High School,Married,Less than $40K,Blue,56,3
709485033,55,F,2,High School,Married,Less than $40K,Blue,36,4
715432608,43,M,4,Unknown,Single,$60K - $80K,Blue,36,4
799471833,45,M,1,Uneducated,Single,$120K +,Blue,39,4
714187533,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2
779656908,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6
788950158,36,M,2,College,Unknown,$80K - $120K,Blue,22,2
778867533,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1
710620383,43,M,4,Unknown,Married,$60K - $80K,Blue,35,6
778661358,46,F,1,Unknown,Married,Less than $40K,Blue,36,2
789483333,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5
809855808,51,F,2,Graduate,Married,Less than $40K,Blue,46,5
718464258,51,F,3,Unknown,Unknown,Less than $40K,Blue,25,2
708528483,43,F,4,Graduate,Divorced,Unknown,Blue,23,6
771809733,64,F,0,High School,Married,$40K - $60K,Blue,53,1
719942883,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3
807226683,48,M,3,Unknown,Single,$40K - $60K,Blue,43,6
717806133,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,5
720615708,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,6
714511758,45,M,4,Graduate,Single,$80K - $120K,Blue,40,4
715050408,41,M,3,High School,Single,$80K - $120K,Blue,36,4
721132233,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2
719211558,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1
712069008,42,F,4,Uneducated,Married,Less than $40K,Blue,23,4
715996983,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,5
773466258,48,F,4,High School,Married,$40K - $60K,Blue,42,3
798983508,43,M,1,Graduate,Single,$80K - $120K,Silver,37,4
719117433,41,M,4,High School,Unknown,$80K - $120K,Blue,36,4
716451183,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5
718621608,54,F,2,High School,Married,Unknown,Blue,44,3
715085733,61,M,0,Graduate,Married,$40K - $60K,Blue,52,3
788977833,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,2
720272958,48,M,2,High School,Married,$120K +,Blue,36,3
708421833,45,F,4,Graduate,Single,Less than $40K,Blue,36,6
709173108,54,F,4,Graduate,Married,Unknown,Blue,40,6
709879458,54,F,3,Doctorate,Married,Unknown,Blue,46,2
715120608,44,M,3,Graduate,Single,$60K - $80K,Blue,37,2
770632758,50,F,4,Doctorate,Single,Unknown,Blue,36,2
779078733,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,3
771742533,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36,5
720250158,45,M,2,College,Single,$60K - $80K,Blue,33,6
716458983,60,M,0,High School,Married,$40K - $60K,Blue,36,5
713747733,55,M,2,High School,Married,$40K - $60K,Blue,47,5
712270158,62,F,0,High School,Married,$40K - $60K,Blue,52,5
789562383,38,F,1,High School,Unknown,Less than $40K,Blue,30,2
754897008,46,M,3,High School,Single,$40K - $60K,Blue,39,2
819700533,50,M,0,High School,Single,$120K +,Silver,45,5
712890408,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,5
720248208,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37,6
779749908,48,M,4,College,Married,$60K - $80K,Gold,33,2
717401883,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,5
721509558,51,M,2,Graduate,Married,$120K +,Blue,42,3
710572458,36,F,3,High School,Married,Unknown,Blue,24,4
714576183,47,M,4,Graduate,Single,$80K - $120K,Blue,36,6
721425558,52,M,2,Graduate,Single,$120K +,Blue,37,2
711109908,43,F,4,Uneducated,Married,Less than $40K,Blue,36,2
715203108,63,M,2,High School,Married,$40K - $60K,Blue,36,2
710027508,61,M,0,Graduate,Married,$60K - $80K,Blue,54,3
787464408,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,5
783542133,53,F,3,Graduate,Married,Less than $40K,Blue,47,5
708330858,57,M,3,Graduate,Married,$120K +,Blue,38,2
714426783,38,F,2,Graduate,Single,Unknown,Blue,31,2
712701333,53,M,3,High School,Married,$60K - $80K,Blue,43,5
709494483,63,F,0,Unknown,Married,Less than $40K,Blue,54,4
773373108,49,F,4,High School,Married,Less than $40K,Blue,43,4
715812258,45,M,2,High School,Married,$80K - $120K,Blue,34,5
778286433,67,M,0,Graduate,Married,$40K - $60K,Blue,56,4
789270033,48,M,3,Graduate,Single,$80K - $120K,Silver,37,3
711569433,51,F,2,Uneducated,Divorced,Less than $40K,Blue,38,4
720214833,52,M,2,High School,Single,$80K - $120K,Silver,40,3
709346133,55,F,2,Uneducated,Married,Unknown,Blue,35,3
788194458,34,M,3,High School,Married,$60K - $80K,Blue,26,4
720779733,56,M,1,Uneducated,Married,$120K +,Blue,36,3
717424458,44,F,2,Post-Graduate,Married,Less than $40K,Blue,36,3
708820308,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,36,6
710558058,46,F,3,Unknown,Married,Less than $40K,Blue,38,4
770590758,43,F,3,Graduate,Single,$40K - $60K,Blue,29,5
718490658,50,F,1,Graduate,Single,Less than $40K,Blue,36,4
711985833,38,F,4,Uneducated,Single,Less than $40K,Blue,30,4
708967608,53,F,1,Graduate,Single,Less than $40K,Blue,45,3
718505958,43,M,5,Graduate,Divorced,$120K +,Silver,31,5
715024233,53,M,1,High School,Married,$120K +,Blue,36,6
779249583,56,F,1,Graduate,Married,Less than $40K,Blue,38,4
709278258,54,M,2,Unknown,Married,$40K - $60K,Blue,44,4
778928283,57,F,3,High School,Married,Less than $40K,Blue,39,3
712299858,62,M,1,High School,Married,Less than $40K,Blue,53,5
799224108,46,F,4,Graduate,Single,Less than $40K,Blue,40,5
809976033,49,M,2,Uneducated,Married,$60K - $80K,Blue,44,6
716203308,52,M,3,Graduate,Single,$80K - $120K,Blue,42,6
714871683,58,M,1,Uneducated,Married,$40K - $60K,Blue,36,2
716139933,54,M,0,High School,Married,$80K - $120K,Blue,36,3
716984658,49,M,1,Graduate,Married,$120K +,Blue,39,3
713086008,58,F,3,High School,Married,Less than $40K,Blue,47,6
713773458,52,M,2,High School,Single,$60K - $80K,Blue,45,5
719242533,41,M,5,High School,Married,$60K - $80K,Blue,33,5
772712658,62,F,0,Uneducated,Married,Less than $40K,Blue,50,5
788868858,54,M,2,Graduate,Married,Less than $40K,Blue,39,4
811898133,40,F,3,High School,Divorced,Less than $40K,Blue,35,3
788808633,43,M,3,Graduate,Married,$80K - $120K,Blue,26,5
779804208,53,F,2,Graduate,Single,$40K - $60K,Blue,42,6
781391058,55,M,1,Uneducated,Single,$40K - $60K,Blue,49,6
790134408,46,M,4,Graduate,Single,$60K - $80K,Blue,39,6
788853258,41,M,1,Uneducated,Married,$60K - $80K,Blue,25,3
711857733,49,M,3,Uneducated,Single,$60K - $80K,Blue,32,3
822969858,61,F,0,Graduate,Married,Unknown,Blue,56,4
719554758,46,M,2,Uneducated,Married,$80K - $120K,Blue,38,6
711643458,50,F,1,Uneducated,Married,Less than $40K,Blue,43,6
788830683,40,M,2,Graduate,Single,$80K - $120K,Blue,24,5
807030858,51,M,4,High School,Single,$120K +,Blue,46,6
793059108,50,F,2,Graduate,Married,$40K - $60K,Blue,44,6
716568708,47,F,2,Graduate,Married,Less than $40K,Blue,36,6
828281733,43,M,4,Unknown,Married,$120K +,Blue,39,3
717229158,36,F,4,Graduate,Married,$40K - $60K,Blue,36,6
715915458,47,F,2,Graduate,Married,Less than $40K,Blue,34,5
819129858,46,F,2,Graduate,Single,Less than $40K,Blue,41,5
713441958,46,M,2,High School,Married,$120K +,Blue,36,5
719091333,52,M,0,Uneducated,Married,$60K - $80K,Blue,36,3
708666258,43,M,4,Unknown,Married,$40K - $60K,Blue,36,5
714914583,40,F,4,Graduate,Single,Less than $40K,Blue,27,6
714363858,54,F,4,High School,Married,Less than $40K,Blue,36,3
721347408,55,F,1,High School,Single,Less than $40K,Blue,43,4
809608533,49,F,4,Post-Graduate,Single,Unknown,Blue,44,6
772047183,45,M,4,High School,Married,$40K - $60K,Blue,34,6
714217908,49,M,3,Graduate,Married,$40K - $60K,Blue,41,5
714819183,63,M,1,Uneducated,Married,$80K - $120K,Blue,36,5
716455683,40,F,3,High School,Single,Less than $40K,Gold,36,3
710865633,41,F,2,Graduate,Married,Less than $40K,Silver,33,4
752952108,37,M,4,Graduate,Married,$80K - $120K,Blue,26,6
712595433,58,M,2,Uneducated,Unknown,$120K +,Blue,49,6
714982383,55,M,2,High School,Married,$60K - $80K,Blue,36,4
813814008,53,F,1,High School,Married,Less than $40K,Blue,48,6
794545983,57,M,2,Graduate,Married,$80K - $120K,Blue,40,3
708288108,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,30,2
715585158,58,M,1,Graduate,Married,$60K - $80K,Blue,46,3
810449883,64,M,0,Unknown,Married,Less than $40K,Blue,56,6
789863208,54,F,2,Graduate,Married,Less than $40K,Blue,44,3
715022133,53,M,2,Graduate,Married,$60K - $80K,Blue,47,6
712506708,39,F,3,College,Single,Less than $40K,Blue,25,6
715699983,56,M,3,High School,Married,$60K - $80K,Blue,36,5
818942433,54,F,4,Unknown,Divorced,Less than $40K,Blue,49,6
712459233,59,F,1,Post-Graduate,Married,$40K - $60K,Blue,46,5
716545383,42,M,3,Uneducated,Single,$40K - $60K,Blue,36,3
721144383,42,M,4,Graduate,Married,$60K - $80K,Silver,28,5
821837958,43,M,3,College,Unknown,$80K - $120K,Blue,39,3
804359133,55,M,0,High School,Married,$120K +,Blue,49,5
713308683,52,M,1,Uneducated,Single,$80K - $120K,Blue,37,5
788780958,46,M,1,Uneducated,Unknown,$40K - $60K,Blue,27,6
717354558,57,M,2,Uneducated,Married,$120K +,Blue,40,3
798473808,48,M,3,College,Married,$80K - $120K,Blue,42,3
712372158,45,M,4,Unknown,Married,$120K +,Blue,33,6
715192308,48,M,2,High School,Married,$120K +,Blue,36,6
708813033,47,M,1,Graduate,Single,$40K - $60K,Blue,36,5
714639783,42,M,3,College,Married,$60K - $80K,Blue,34,3
709311633,41,M,2,Graduate,Unknown,$60K - $80K,Silver,36,6
709470858,51,M,4,College,Married,$120K +,Silver,31,5
717292758,55,F,2,Graduate,Single,Less than $40K,Blue,47,5
779241783,67,M,1,Uneducated,Married,$40K - $60K,Blue,49,4
715205358,39,M,1,Graduate,Married,$60K - $80K,Blue,31,4
778871508,54,M,3,Post-Graduate,Single,$60K - $80K,Blue,35,6
779462433,55,F,2,Unknown,Married,Less than $40K,Blue,37,3
710147958,47,M,3,High School,Married,$40K - $60K,Silver,36,3
709864833,49,M,2,Post-Graduate,Married,$60K - $80K,Blue,38,3
778868958,42,F,2,Graduate,Married,Less than $40K,Blue,23,3
717276708,57,M,2,Unknown,Single,$80K - $120K,Blue,36,3
